gene,species,summary_uid,summary_symbol,summary_name,summary_type,summary_chromosome,summary_text,disease_count,disease_names,domain_count,domain_names,ols_identity_count,ols_identity_labels,ols_function_count,ols_function_labels,error
ISG15,Homo,,,,,,,0,,0,,1,ISG15,9,ISG15 transferase activity; ISG15 conjugating enzyme activity; ISG15 ligase activity; symbiont-mediated suppression of host ISG15-protein conjugation; ISG15-specific peptidase activity; ISG15-protein conjugation; ISG15 activating enzyme activity; ubiquitin-like protein-specific endopeptidase activity; ubiquitin-like protein peptidase activity,summary_not_found
TNFRSF18,Homo,,,,,,,0,,0,,1,TNFRSF18,0,,summary_not_found
TNFRSF4,Homo,,,,,,,0,,0,,1,TNFRSF4,0,,summary_not_found
AJAP1,Homo,,,,,,,0,,0,,1,AJAP1,0,,summary_not_found
AL365255.1,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
GPR153,Homo,,,,,,,0,,0,,1,GPR153,0,,summary_not_found
CA6,Homo,,,,,,,0,,0,,1,CA6,0,,summary_not_found
SLC2A5,Homo,,,,,,,0,,0,,1,SLC2A5,0,,summary_not_found
KIF1B,Homo,23095,KIF1B,kinesin family member 1B,,1,"Enables plus-end-directed microtubule motor activity. Involved in apoptotic process involved in development and mitochondrion transport along microtubule. Is active in mitochondrion. Implicated in Charcot-Marie-Tooth disease type 2A1; hepatocellular carcinoma; multiple sclerosis; neuroblastoma; and ovary epithelial cancer. Biomarker of hepatocellular carcinoma. [provided by Alliance of Genome Resources, Jul 2025]",0,,0,,1,KIF1B,0,,
AL031291.1,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
